Tamaliza,tamaliza-sedona-4,https://www.yelp.com/biz/tamaliza-sedona-4,671,4.5,-111.7812231,34.86245252,FALSE,(928) 202-9056,1155 W State Rte 89A,"Sedona, AZ 86336","Mexican, Latin American, Gluten-Free",Sedona,AZ,Arizona
Yechon,yechon-annandale,https://www.yelp.com/biz/yechon-annandale,1482,4,-77.20995,38.83376,FALSE,(703) 914-4646,4121 Hummer Rd,"Annandale, VA 22003","Korean, Japanese, Barbeque",Annandale,VA,DC
Dinamo,dinamo-richmond,https://www.yelp.com/biz/dinamo-richmond,99,4.5,-77.4525225,37.5442507,FALSE,(804) 678-9706,821 W Cary St,"Richmond, VA 23220","Seafood, American (New), Italian",Richmond,VA,DC
Chaia Tacos,chaia-tacos-washington-4,https://www.yelp.com/biz/chaia-tacos-washington-4,522,4.5,-77.06326,38.90408,FALSE,(202) 333-5222,3207 Grace St NW,"Washington, DC 20007","Tacos, Coffee & Tea, Kombucha",Washington DC,DC,DC
China Chilcano,china-chilcano-washington,https://www.yelp.com/biz/china-chilcano-washington,950,4,-77.0220449,38.8952905,FALSE,(202) 783-0941,418 7th St NW,"Washington, DC 20004","Peruvian, Asian Fusion",Washington DC,DC,DC
Chriss Marketplace,chris-marketplace-washington,https://www.yelp.com/biz/chris-marketplace-washington,22,4.5,-77.04482,38.910709,FALSE,(866) 785-4100,Dupont Circle FRESHFARM Market,20th St,"Seafood, Seafood Markets, Empanadas",Washington DC,DC,DC
Del Friscos Grille,del-friscos-double-eagle-steakhouse-washington,https://www.yelp.com/biz/del-friscos-double-eagle-steakhouse-washington,600,3.5,-77.02499607,38.90081487,FALSE,(202) 289-0201,950 I St NW,Ste 501,"Steakhouses, American (New)",Washington DC,DC,DC
Del Friscos Grille,del-friscos-grille-north-bethesda-2,https://www.yelp.com/biz/del-friscos-grille-north-bethesda-2,351,3.5,-77.1171915,39.0491793,FALSE,(301) 881-0308,11800 Grand Park Ave,"North Bethesda, MD 20852","American (New), Wine Bars",Washington DC,DC,DC
Del Friscos Grille,del-friscos-grille-washington-3,https://www.yelp.com/biz/del-friscos-grille-washington-3,475,3.5,-77.028592,38.8957,FALSE,(202) 450-4686,1201 Pennsylvania Ave NW,"Washington, DC 20004","Steakhouses, Bars, American (Traditional)",Washington DC,DC,DC
District Taco,district-taco-alexandria,https://www.yelp.com/biz/district-taco-alexandria,312,3.5,-77.0487,38.798,FALSE,(571) 386-1400,701 S Washington St,"Alexandria, VA 22314",Mexican,Washington DC,DC,DC
District Taco,district-taco-arlington-3,https://www.yelp.com/biz/district-taco-arlington-3,729,4,-77.14329,38.8952,FALSE,(703) 237-1204,5723 Lee Hwy,"Arlington, VA 22207",Mexican,Washington DC,DC,DC
District Taco,district-taco-arlington-6,https://www.yelp.com/biz/district-taco-arlington-6,171,3.5,-77.07407221,38.89447885,FALSE,(571) 290-6854,1500 Wilson Blvd,"Arlington, VA 22209",Mexican,Washington DC,DC,DC
District Taco,district-taco-falls-church-2,https://www.yelp.com/biz/district-taco-falls-church-2,66,3.5,-77.12004,38.84584,FALSE,(571) 699-0660,5275-C Leesburg Pike,"Falls Church, VA 22041",Mexican,Washington DC,DC,DC
District Taco,district-taco-riverdale-park,https://www.yelp.com/biz/district-taco-riverdale-park,60,4,-76.93694591,38.97009838,FALSE,(240) 623-0160,6710 45th St,"Riverdale Park, MD 20737",Mexican,Washington DC,DC,DC
District Taco,district-taco-vienna-2,https://www.yelp.com/biz/district-taco-vienna-2,191,3.5,-77.23142722,38.88117487,FALSE,(571) 325-0860,2676-O Avenir Pl,"Vienna, VA 22031",Mexican,Washington DC,DC,DC
District Taco,district-taco-washington-2,https://www.yelp.com/biz/district-taco-washington-2,321,4,-76.9968537,38.885078,FALSE,(202) 735-5649,656 Pennsylvania Ave SE,"Washington, DC 20003",Mexican,Washington DC,DC,DC
District Taco,district-taco-washington-4,https://www.yelp.com/biz/district-taco-washington-4,285,4,-77.044461,38.906107,FALSE,(202) 888-9898,1919 M St NW,"Washington, DC 20036",Mexican,Washington DC,DC,DC
District Taco,district-taco-washington-6,https://www.yelp.com/biz/district-taco-washington-6,1372,4,-77.030159,38.89759827,FALSE,(202) 347-7359,1309 F St NW,"Washington, DC 20004",Mexican,Washington DC,DC,DC
District Taco,district-taco-washington-8,https://www.yelp.com/biz/district-taco-washington-8,61,3.5,-77.08085,38.9499799,FALSE,(202) 304-1411,4600 Wisconsin Ave NW,Ste A,"Mexican, Breakfast & Brunch",Washington DC,DC,DC
Estadio,estadio-washington,https://www.yelp.com/biz/estadio-washington,1050,4,-77.03209329,38.91016863,FALSE,(202) 319-1404,1520 14th St NW,"Washington, DC 20005","Spanish, Tapas/Small Plates",Washington DC,DC,DC
Far East Taco Grille,far-east-taco-grille-burrito-squad-downtown,https://www.yelp.com/biz/far-east-taco-grille-burrito-squad-downtown,4,4,-77.0376358,38.90295029,FALSE,,Franklin Park,"Downtown, DC 20005",Food Trucks,Washington DC,DC,DC
Far East Taco Grille,far-east-taco-grille-truck-washington,https://www.yelp.com/biz/far-east-taco-grille-truck-washington,221,4,-77.03721619,38.9198494,FALSE,(202) 601-4346,,Washington DC,"Asian Fusion, Food Trucks, Mexican",Washington DC,DC,DC
Far East Taco Grille,far-east-taco-grille-washington-4,https://www.yelp.com/biz/far-east-taco-grille-washington-4,174,4.5,-76.98347635,38.89536546,FALSE,(202) 601-4346,409 15th St NE,"Washington, DC 20002","Mexican, Asian Fusion",Washington DC,DC,DC
Far East Taco Grille,far-east-taco-grille-washington-5,https://www.yelp.com/biz/far-east-taco-grille-washington-5,88,4.5,-76.99639,38.90522,FALSE,(202) 544-4116,635 Florida Ave NE,"Washington, DC 20002","Tacos, Asian Fusion",Washington DC,DC,DC
Julias Empanadas,julias-empanadas-washington,https://www.yelp.com/biz/julias-empanadas-washington,636,4,-77.04112,38.90664,FALSE,(202) 861-8828,1221 Connecticut Ave NW,"Washington, DC 20036",Empanadas,Washington DC,DC,DC
Julias Empanadas,julias-empanadas-washington-3,https://www.yelp.com/biz/julias-empanadas-washington-3,253,4,-77.04274,38.92197,FALSE,(202) 328-6232,2452 18th St NW,"Washington, DC 20009",Empanadas,Washington DC,DC,DC
Julias Empanadas,julias-empanadas-washington-4,https://www.yelp.com/biz/julias-empanadas-washington-4,11,4,-77.02731,38.96588,FALSE,(202) 387-4100,6235 Georgia Ave,"Washington, DC 20011",Empanadas,Washington DC,DC,DC
Lukes Lobster,lukes-lobster-bethesda-bethesda,https://www.yelp.com/biz/lukes-lobster-bethesda-bethesda,304,4,-77.09775869,38.98191514,FALSE,(301) 718-1005,7129 Bethesda Ln,"Bethesda, MD 20814",Seafood,Washington DC,DC,DC
Lukes Lobster,lukes-lobster-farragut-washington-2,https://www.yelp.com/biz/lukes-lobster-farragut-washington-2,73,4.5,-77.03982656,38.90038759,FALSE,(202) 800-2116,800 17th St NW,"Washington, DC 20006",Seafood,Washington DC,DC,DC
Lukes Lobster,lukes-lobster-georgetown-washington,https://www.yelp.com/biz/lukes-lobster-georgetown-washington,536,4,-77.065017,38.9055279,FALSE,(202) 333-4863,1211 Potomac St NW,"Washington, DC 20007",Seafood,Washington DC,DC,DC
Lukes Lobster,lukes-lobster-penn-quarter-washington,https://www.yelp.com/biz/lukes-lobster-penn-quarter-washington,1201,4,-77.0215539,38.89613661,FALSE,(202) 347-3355,624 E St NW,"Washington, DC 20004",Seafood,Washington DC,DC,DC
Neopol,neopol-savory-smokery-washington,https://www.yelp.com/biz/neopol-savory-smokery-washington,181,4.5,-76.99717188,38.908389,FALSE,(202) 543-1864,1309 5th St NE,"Washington, DC 20002","Sandwiches, Seafood",Washington DC,DC,DC
Old Ebbitt Grill,old-ebbitt-grill-washington,https://www.yelp.com/biz/old-ebbitt-grill-washington,7136,4,-77.033362,38.898005,FALSE,(202) 347-4800,675 15th St NW,"Washington, DC 20005","Bars, American (Traditional), Breakfast & Brunch",Washington DC,DC,DC
Oyamel Mexican Cuisine,oyamel-washington-2,https://www.yelp.com/biz/oyamel-washington-2,2455,3.5,-77.02167,38.89495,FALSE,(202) 628-1005,401 7th St NW,"Washington, DC 20004","Mexican, Tapas Bars",Washington DC,DC,DC
SUNdeVICH,sundevich-washington,https://www.yelp.com/biz/sundevich-washington,523,4,-77.02435931,38.90776374,FALSE,(202) 319-1086,1314 9th St NW,"Washington, DC 20001",Sandwiches,Washington DC,DC,DC
SUNdeVICH,sundevich-washington-4,https://www.yelp.com/biz/sundevich-washington-4,54,3.5,-77.06316277,38.90393168,FALSE,(202) 868-6932,3210 Grace St NW,"Washington, DC 20007","Sandwiches, Salad",Washington DC,DC,DC
SUNdeVICH,sundevich-washington-6,https://www.yelp.com/biz/sundevich-washington-6,4,3,-77.02353575,38.93046171,FALSE,(202) 808-8572,3212 Georgia Ave NW,"Washington, DC 20010",Sandwiches,Washington DC,DC,DC
Sweetgreen,sweetgreen-arlington,https://www.yelp.com/biz/sweetgreen-arlington,273,4,-77.1086699,38.8801004,FALSE,(703) 522-2016,4075 Wilson Blvd,"Arlington, VA 22203","Vegetarian, Salad",Washington DC,DC,DC
Sweetgreen,sweetgreen-arlington-2,https://www.yelp.com/biz/sweetgreen-arlington-2,94,4,-77.0496695,38.854382,FALSE,(703) 685-9089,2200 Crystal Dr,Ste E,"Salad, Vegetarian",Washington DC,DC,DC
Sweetgreen,sweetgreen-arlington-3,https://www.yelp.com/biz/sweetgreen-arlington-3,49,3.5,-77.0953846,38.8865318,FALSE,(571) 290-3956,3100 Clarendon Blvd,"Arlington, VA 22201","Salad, Vegetarian",Washington DC,DC,DC
Sweetgreen,sweetgreen-arlington-4,https://www.yelp.com/biz/sweetgreen-arlington-4,57,3.5,-77.056145,38.86244264,FALSE,(703) 888-1025,575 12th Rd S,Ste B2,"Salad, Vegetarian",Washington DC,DC,DC
Sweetgreen,sweetgreen-rosslyn,https://www.yelp.com/biz/sweetgreen-rosslyn,24,4,-77.07108468,38.89631967,FALSE,(703) 372-9009,1800 N Lynn St,"Arlington, VA 22209","Salad, Vegetarian",Washington DC,DC,DC
Sweetgreen,sweetgreen-silver-spring,https://www.yelp.com/biz/sweetgreen-silver-spring,95,4.5,-77.0268783,38.99502019,FALSE,(301) 244-5402,8517 Georgia Ave,"Silver Spring, MD 20910","Salad, Vegetarian",Washington DC,DC,DC
Sweetgreen,sweetgreen-washington-10,https://www.yelp.com/biz/sweetgreen-washington-10,84,4,-77.018647,38.9033073,FALSE,(202) 289-4674,1065 5th St NW,"Washington, DC 20001","Salad, Vegetarian",Washington DC,DC,DC
Sweetgreen,sweetgreen-washington-11,https://www.yelp.com/biz/sweetgreen-washington-11,74,3.5,-77.04935594,38.90506051,FALSE,(202) 629-2100,2238 M St NW,"Washington, DC 20037","Salad, Vegetarian",Washington DC,DC,DC
Sweetgreen,sweetgreen-washington-12,https://www.yelp.com/biz/sweetgreen-washington-12,58,3.5,-77.07101494,38.91915658,FALSE,(202) 333-4307,2200 Wisconsin Ave NW,"Washington, DC 20007","Salad, Vegetarian",Washington DC,DC,DC
Sweetgreen,sweetgreen-washington-13,https://www.yelp.com/biz/sweetgreen-washington-13,69,4,-77.0312564,38.91936516,FALSE,(202) 506-2956,1325 W St NW,"Washington, DC 20009","Salad, Vegetarian",Washington DC,DC,DC
Sweetgreen,sweetgreen-washington-15,https://www.yelp.com/biz/sweetgreen-washington-15,76,4,-77.0003223,38.87511339,FALSE,(202) 554-7336,1212 4th St SE,"Washington, DC 20003","Salad, Vegetarian",Washington DC,DC,DC
Sweetgreen,sweetgreen-washington-19,https://www.yelp.com/biz/sweetgreen-washington-19,257,3.5,-77.06717528,38.90527451,FALSE,(202) 838-4300,1044 Wisconsin Ave,"Washington, DC 20007","Salad, Vegetarian",Washington DC,DC,DC
Sweetgreen,sweetgreen-washington-2,https://www.yelp.com/biz/sweetgreen-washington-2,286,4,-77.04422,38.91044,FALSE,(202) 387-9338,1512 Connecticut Ave NW,"Washington, DC 20036","Salad, Vegetarian",Washington DC,DC,DC
Sweetgreen,sweetgreen-washington-21,https://www.yelp.com/biz/sweetgreen-washington-21,18,4.5,-77.0400105,38.9011795,FALSE,(202) 506-3079,888 17th St NW,Ste 104,"Salad, Vegetarian",Washington DC,DC,DC
Sweetgreen,sweetgreen-washington-22,https://www.yelp.com/biz/sweetgreen-washington-22,16,4,-77.063014,38.903834,FALSE,(202) 838-4300,1044 Wisconsin Ave NW,"Washington, DC 20007","Vegetarian, Salad",Washington DC,DC,DC
Sweetgreen,sweetgreen-washington-23,https://www.yelp.com/biz/sweetgreen-washington-23,1,2,-77.0673599,38.90526,FALSE,(202) 337-9338,3333 M St NW,"Washington, DC 20007",Vegetarian,Washington DC,DC,DC
Sweetgreen,sweetgreen-washington-3,https://www.yelp.com/biz/sweetgreen-washington-3,181,4,-77.03412,38.90982,FALSE,(202) 234-7336,1471 P St NW,"Washington, DC 20005","Salad, Vegetarian",Washington DC,DC,DC
Sweetgreen,sweetgreen-washington-5,https://www.yelp.com/biz/sweetgreen-washington-5,185,4,-77.00273395,38.88700454,FALSE,(202) 547-9338,221 Pennsylvania Ave SE,"Washington, DC 20003","Salad, Vegetarian",Washington DC,DC,DC
Sweetgreen,sweetgreen-washington-6,https://www.yelp.com/biz/sweetgreen-washington-6,108,3.5,-77.04977989,38.90071063,FALSE,(202) 507-8357,2221 I St NW,"Washington, DC 20052","Salad, Vegetarian",Washington DC,DC,DC
Sweetgreen,sweetgreen-washington-7,https://www.yelp.com/biz/sweetgreen-washington-7,68,3.5,-77.0439,38.90403,FALSE,(202) 331-3355,1901 L St NW,"Washington, DC 20036","Salad, Vegetarian",Washington DC,DC,DC
TaKorean,takorean-korean-taco-grill-washington-7,https://www.yelp.com/biz/takorean-korean-taco-grill-washington-7,161,4,-76.99791066,38.90885152,FALSE,,1309 5th St NE,Union Market,"Asian Fusion, Korean, Tacos",Washington DC,DC,DC
TaKorean,takorean-korean-taco-grill-washington-8,https://www.yelp.com/biz/takorean-korean-taco-grill-washington-8,41,3.5,-77.03028589,38.89708961,FALSE,,13th & F St NW,"Washington, DC 20002","Korean, Asian Fusion, Tacos",Washington DC,DC,DC
TaKorean,takorean-korean-taco-grill-washington-9,https://www.yelp.com/biz/takorean-korean-taco-grill-washington-9,196,4,-77.00034198,38.87517476,FALSE,,1212 4th St SE,The Yards,"Korean, Asian Fusion, Tacos",Washington DC,DC,DC
TaKorean,takorean-washington-7,https://www.yelp.com/biz/takorean-washington-7,62,4.5,-77.0304234,38.91712736,FALSE,,1301 U St NW,"Washington, DC 20009","Fast Food, Tacos, Korean",Washington DC,DC,DC
Tico,tico-dc-washington-2,https://www.yelp.com/biz/tico-dc-washington-2,783,4,-77.03213651,38.91658591,FALSE,(202) 319-1400,1926 14th St NW,"Washington, DC 20009","Mexican, Tapas/Small Plates, Latin American",Washington DC,DC,DC
Zaytinya,zaytinya-washington,https://www.yelp.com/biz/zaytinya-washington,4137,4,-77.02349,38.89904,FALSE,(202) 638-0800,701 9th St NW,"Washington, DC 20001","Greek, Turkish, Lebanese",Washington DC,DC,DC
Asada Rico Food Cart,asada-rico-denver-2,https://www.yelp.com/biz/asada-rico-denver-2,103,4.5,-104.9930193,39.7458661,FALSE,(720) 434-2698,16th St & Stout St,"Denver, CO 80202",Food Stands,Denver,CO,Denver
Beast + Bottle,beast-bottle-denver,https://www.yelp.com/biz/beast-bottle-denver,395,4,-104.97814,39.74339,FALSE,(303) 623-3223,719 E 17th Ave,"Denver, CO 80203","American (New), Breakfast & Brunch",Denver,CO,Denver
Five on Black,five-on-black-boulder-2,https://www.yelp.com/biz/five-on-black-boulder-2,172,4.5,-105.2564546,40.0187817,FALSE,(303) 402-5000,1805 29th St,Ste 1138,Brazilian,Denver,CO,Denver
Five on Black,five-on-black-denver,https://www.yelp.com/biz/five-on-black-denver,179,4.5,-104.9920239,39.7457029,FALSE,(720) 904-5505,1617-A California St,"Denver, CO 80202","Fast Food, Brazilian",Denver,CO,Denver
Liang's Thai Food,liangs-thai-food-denver,https://www.yelp.com/biz/liangs-thai-food-denver,288,4.5,-104.9897605,39.74336361,FALSE,(720) 810-8693,500 16th St,"Denver, CO 80202",Thai,Denver,CO,Denver
Mercantile Dining & Provisions,mercantile-dining-and-provision-denver,https://www.yelp.com/biz/mercantile-dining-and-provision-denver,897,4.5,-104.9997764,39.753615,FALSE,(720) 460-3733,1701 Wynkoop St,Ste 155,"Bars, American (New)",Denver,CO,Denver
Panzano,panzano-denver,https://www.yelp.com/biz/panzano-denver,885,4.5,-104.992822,39.747833,FALSE,(303) 296-3525,909 17th St,"Denver, CO 80202","Italian, Bars, Breakfast & Brunch",Denver,CO,Denver
Snooze,snooze-an-a-m-eatery-centennial-2,https://www.yelp.com/biz/snooze-an-a-m-eatery-centennial-2,667,4,-104.9615885,39.59338948,FALSE,(303) 734-9655,6781 S York St,Ste 515,"Breakfast & Brunch, Coffee & Tea, Sandwiches",Denver,CO,Denver
Snooze,snooze-an-a-m-eatery-denver-10,https://www.yelp.com/biz/snooze-an-a-m-eatery-denver-10,63,4,-104.89994,39.62537,FALSE,(720) 441-1350,5073 S Syracuse St,"Denver, CO 80237",Breakfast & Brunch,Denver,CO,Denver
Snooze,snooze-an-a-m-eatery-denver-11,https://www.yelp.com/biz/snooze-an-a-m-eatery-denver-11,787,4.5,-104.9998925,39.75341728,FALSE,(303) 825-3536,1701 Wynkoop St,Ste 150,"Breakfast & Brunch, Coffee & Tea, Sandwiches",Denver,CO,Denver
Snooze,snooze-an-a-m-eatery-denver-12,https://www.yelp.com/biz/snooze-an-a-m-eatery-denver-12,3620,4.5,-104.9889139,39.75545961,FALSE,(303) 297-0700,2262 Larimer St,"Denver, CO 80205","Breakfast & Brunch, Sandwiches, Coffee & Tea",Denver,CO,Denver
Snooze,snooze-an-a-m-eatery-denver-5,https://www.yelp.com/biz/snooze-an-a-m-eatery-denver-5,1517,4,-104.9404463,39.72756152,FALSE,(303) 736-6200,700 N Colorado Blvd,"Denver, CO 80206","Breakfast & Brunch, Coffee & Tea, Sandwiches",Denver,CO,Denver
Snooze,snooze-an-a-m-eatery-lone-tree,https://www.yelp.com/biz/snooze-an-a-m-eatery-lone-tree,435,4,-104.879079,39.53503,FALSE,(720) 583-6819,10002 Commons St,Ste E1,"Breakfast & Brunch, Coffee & Tea, Sandwiches",Denver,CO,Denver
Snooze,snooze-an-a-m-eatery-westminster,https://www.yelp.com/biz/snooze-an-a-m-eatery-westminster,249,4,-105.067724,39.88865,FALSE,(303) 481-9925,6315 W 104th Ave,Ste 100,"Breakfast & Brunch, Coffee & Tea, Sandwiches",Denver,CO,Denver
Sweet Cow,sweet-cow-aurora,https://www.yelp.com/biz/sweet-cow-aurora,72,4.5,-104.87738,39.75223,FALSE,(303) 484-1573,2501 N Dallas St,Ste 146,"Desserts, Food Trucks, Ice Cream & Frozen Yogurt",Denver,CO,Denver
Sweet Cow,sweet-cow-boulder,https://www.yelp.com/biz/sweet-cow-boulder,115,4.5,-105.28116,40.0248047,FALSE,(303) 447-3269,2628 Broadway St,"Boulder, CO 80304","Ice Cream & Frozen Yogurt, Desserts",Denver,CO,Denver
Sweet Cow,sweet-cow-denver,https://www.yelp.com/biz/sweet-cow-denver,369,4.5,-105.03384,39.76236,FALSE,(303) 477-3269,3475 W 32nd Ave,"Denver, CO 80211","Ice Cream & Frozen Yogurt, Desserts",Denver,CO,Denver
Sweet Cow,sweet-cow-denver-2,https://www.yelp.com/biz/sweet-cow-denver-2,127,4.5,-104.9803008,39.68231901,FALSE,(720) 479-8838,1882 Old S Pearl St,"Denver, CO 80210","Ice Cream & Frozen Yogurt, Desserts, Food Trucks",Denver,CO,Denver
Sweet Cow,sweet-cow-louisville,https://www.yelp.com/biz/sweet-cow-louisville,229,4.5,-105.13115,39.97653,FALSE,(303) 666-4269,637 Front St,"Louisville, CO 80027","Ice Cream & Frozen Yogurt, Desserts",Denver,CO,Denver
Tacos Tequila Whiskey,tacos-tequila-whiskey-denver-2,https://www.yelp.com/biz/tacos-tequila-whiskey-denver-2,931,4,-104.9595337,39.74038315,FALSE,(720) 475-1337,1514 York St,"Denver, CO 80206",Mexican,Denver,CO,Denver
Tacos Tequila Whiskey,tacos-tequila-whiskey-denver-3,https://www.yelp.com/biz/tacos-tequila-whiskey-denver-3,376,4,-105.0300599,39.76195032,FALSE,(720) 502-4608,3300 W 32nd Ave,"Denver, CO 80211",Mexican,Denver,CO,Denver
Tacos Tequila Whiskey,tacos-tequila-whiskey-denver-4,https://www.yelp.com/biz/tacos-tequila-whiskey-denver-4,33,4,-104.98452,39.72742,FALSE,(720) 458-0989,215 E 7th Ave,"Denver, CO 80203","Mexican, Cocktail Bars",Denver,CO,Denver
Yard House,yard-house-denver-3,https://www.yelp.com/biz/yard-house-denver-3,910,3.5,-104.9895829,39.74297848,FALSE,(303) 572-9273,1555 Court Pl,"Denver, CO 80202","American (New), Vegetarian, Bars",Denver,CO,Denver
Yard House,yard-house-lakewood-2,https://www.yelp.com/biz/yard-house-lakewood-2,395,3.5,-105.1555795,39.73294628,FALSE,(303) 278-9273,14500 West Colfax Ave,Unit 341,"Bars, Vegetarian, American (New)",Denver,CO,Denver
Yard House,yard-house-lone-tree,https://www.yelp.com/biz/yard-house-lone-tree,355,3.5,-104.8783446,39.56178939,FALSE,(303) 790-7453,8437 Park Meadows Center Dr,"Lone Tree, CO 80124","American (New), Vegetarian, Bars",Denver,CO,Denver
Akai Hana,akai-hana-japanese-restaurant-carrboro,https://www.yelp.com/biz/akai-hana-japanese-restaurant-carrboro,148,4,-79.0754776,35.91038513,FALSE,(919) 942-6848,206 W Main St,"Carrboro, NC 27510","Japanese, Sushi Bars",Carrboro,NC,Durham-Chapel Hill-Carrboro
Carrburritos,carrburritos-carrboro,https://www.yelp.com/biz/carrburritos-carrboro,284,4,-79.06648993,35.91076842,FALSE,(919) 933-8226,711 Rosemary St,"Carrboro, NC 27510",Mexican,Carrboro,NC,Durham-Chapel Hill-Carrboro
Neals Deli,neals-deli-carrboro,https://www.yelp.com/biz/neals-deli-carrboro,173,4,-79.07213,35.91019,FALSE,(919) 967-2185,100 E Main St,Ste C,"Delis, Sandwiches",Carrboro,NC,Durham-Chapel Hill-Carrboro
One Fish Two Fish Poke,one-fish-two-fish-carrboro,https://www.yelp.com/biz/one-fish-two-fish-carrboro,123,4,-79.06764932,35.91065736,FALSE,(919) 240-5532,370 E Main St,Ste 140,"Asian Fusion, Hawaiian, Poke",Carrboro,NC,Durham-Chapel Hill-Carrboro
Pizzeria Mercato,pizzeria-mercato-carrboro-2,https://www.yelp.com/biz/pizzeria-mercato-carrboro-2,124,4,-79.07613222,35.91136636,FALSE,(919) 967-2277,408 W Weaver St,"Carrboro, NC 27510",Pizza,Carrboro,NC,Durham-Chapel Hill-Carrboro
Venable Bistro,venable-rotisserie-bistro-carrboro,https://www.yelp.com/biz/venable-rotisserie-bistro-carrboro,195,4,-79.07056031,35.91136338,FALSE,(919) 904-7160,200 N Greensboro St,"Carrboro, NC 27510","American (New), Venues & Event Spaces",Carrboro,NC,Durham-Chapel Hill-Carrboro
Buns,buns-chapel-hill,https://www.yelp.com/biz/buns-chapel-hill,325,4,-79.05610763,35.91349807,FALSE,(919) 240-4746,107 N Columbia St,"Chapel Hill, NC 27514","Burgers, Hot Dogs",Chapel Hill,NC,Durham-Chapel Hill-Carrboro
Cerritos,cerritos-cantina-chapel-hill,https://www.yelp.com/biz/cerritos-cantina-chapel-hill,54,3.5,-79.03364,35.9298,FALSE,(919) 929-6566,1502 E Franklin St,"Chapel Hill, NC 27514","Tex-Mex, Mexican",Chapel Hill,NC,Durham-Chapel Hill-Carrboro
City Kitchen,city-kitchen-chapel-hill,https://www.yelp.com/biz/city-kitchen-chapel-hill,218,3.5,-79.027601,35.927792,FALSE,(919) 928-8200,201 S Estes Dr,"Chapel Hill, NC 27514",American (New),Chapel Hill,NC,Durham-Chapel Hill-Carrboro
Kitchen,kitchen-and-bath-galleries-southern-pines,https://www.yelp.com/biz/kitchen-and-bath-galleries-southern-pines,1,2,-79.42306347,35.16681589,FALSE,(910) 692-2700,10700 S Hwy 15-501,"Southern Pines, NC 28387",Kitchen & Bath,Chapel Hill,NC,Durham-Chapel Hill-Carrboro
Mediterranean Deli,mediterranean-deli-chapel-hill-2,https://www.yelp.com/biz/mediterranean-deli-chapel-hill-2,719,4.5,-79.06105,35.91148,FALSE,(919) 967-2666,410 W Franklin St,"Chapel Hill, NC 27516","Mediterranean, Delis",Chapel Hill,NC,Durham-Chapel Hill-Carrboro
Min Ga,minga-chapel-hill,https://www.yelp.com/biz/minga-chapel-hill,150,3.5,-79.0342897,35.9281792,FALSE,(919) 933-1773,1404 E Franklin St,"Chapel Hill, NC 27514","Korean, Japanese, Barbeque",Chapel Hill,NC,Durham-Chapel Hill-Carrboro
Mint,mint-chapel-hill,https://www.yelp.com/biz/mint-chapel-hill,242,3.5,-79.06378,35.91025,FALSE,(919) 929-6188,504 W Franklin St,"Chapel Hill, NC 27516",Indian,Chapel Hill,NC,Durham-Chapel Hill-Carrboro
OiShii,oishii-chapel-hill,https://www.yelp.com/biz/oishii-chapel-hill,72,3.5,-79.053749,35.962593,FALSE,(919) 932-7002,1129 Weaver Dairy Rd,Ste M,"Sushi Bars, Japanese",Chapel Hill,NC,Durham-Chapel Hill-Carrboro
Olio and Aceto Cafe,olio-and-aceto-cafe-chapel-hill,https://www.yelp.com/biz/olio-and-aceto-cafe-chapel-hill,56,4,-79.0264816,35.9314804,FALSE,(919) 903-8958,400 S Elliott Rd,"Chapel Hill, NC 27514",Cafes,Chapel Hill,NC,Durham-Chapel Hill-Carrboro
Rasa Malaysian,rasa-malaysia-chapel-hill,https://www.yelp.com/biz/rasa-malaysia-chapel-hill,91,4.5,-79.06572,35.88179,FALSE,(984) 234-0256,410 Market St,"Chapel Hill, NC 27516","Malaysian, Seafood, Noodles",Chapel Hill,NC,Durham-Chapel Hill-Carrboro
Sunrise Biscuit Kitchen,sunrise-biscuit-kitchen-chapel-hill,https://www.yelp.com/biz/sunrise-biscuit-kitchen-chapel-hill,554,4.5,-79.0355,35.92757,FALSE,(919) 933-1324,1305 E Franklin St,"Chapel Hill, NC 27514","Breakfast & Brunch, Sandwiches, Hot Dogs",Chapel Hill,NC,Durham-Chapel Hill-Carrboro
The Root Cellar,the-root-cellar-cafe-and-catering-chapel-hill,https://www.yelp.com/biz/the-root-cellar-cafe-and-catering-chapel-hill,147,4,-79.0536,35.92436,FALSE,(919) 967-3663,750 Mlk Jr Blvd,"Chapel Hill, NC 27514","Breakfast & Brunch, Cafes",Chapel Hill,NC,Durham-Chapel Hill-Carrboro
The Root Cellar,the-root-cellar-cafe-catering-pittsboro,https://www.yelp.com/biz/the-root-cellar-cafe-catering-pittsboro,36,3.5,-79.16557252,35.75468333,FALSE,(919) 704-2675,35 Suttles Rd,"Pittsboro, NC 27312","American (Traditional), Coffee & Tea, Breakfast & Brunch",Chapel Hill,NC,Durham-Chapel Hill-Carrboro
Tobacco Road Sports Bar,tobacco-road-sports-cafe-durham-2,https://www.yelp.com/biz/tobacco-road-sports-caf%C3%A9-durham-2,371,3.5,-78.903086,35.992294,FALSE,(919) 937-9909,280 S Mangum St,"Durham, NC 27701","Sports Bars, American (Traditional), Sandwiches",Chapel Hill,NC,Durham-Chapel Hill-Carrboro
Tobacco Road Sports Bar,tobacco-road-sports-cafe-chapel-hill,https://www.yelp.com/biz/tobacco-road-sports-cafe-chapel-hill,109,3.5,-79.0215204,35.9068239,FALSE,(919) 537-8404,1118 Environ Way,"Chapel Hill, NC 27517","American (New), Sports Bars, Salad",Chapel Hill,NC,Durham-Chapel Hill-Carrboro
